filename,zeta_norm,b,c,zeta_raw
file_0.npy,1.142857142857142753e+04,1.000000000000000056e-01,-1.800000000000000000e+02,4.000000000000000083e-03
file_1.npy,1.142857142857142753e+04,1.000000000000000056e-01,-1.720000000000000000e+02,4.000000000000000083e-03
file_2.npy,1.142857142857142753e+04,1.000000000000000056e-01,-1.640000000000000000e+02,4.000000000000000083e-03
file_3.npy,1.142857142857142753e+04,1.000000000000000056e-01,-1.560000000000000000e+02,4.000000000000000083e-03
file_4.npy,1.142857142857142753e+04,1.000000000000000056e-01,-1.480000000000000000e+02,4.000000000000000083e-03
file_5.npy,1.142857142857142753e+04,1.000000000000000056e-01,-1.400000000000000000e+02,4.000000000000000083e-03
file_6.npy,1.142857142857142753e+04,1.000000000000000056e-01,-1.320000000000000000e+02,4.000000000000000083e-03
file_7.npy,1.142857142857142753e+04,1.000000000000000056e-01,-1.240000000000000000e+02,4.000000000000000083e-03
file_8.npy,1.142857142857142753e+04,1.000000000000000056e-01,-1.160000000000000000e+02,4.000000000000000083e-03
file_9.npy,1.142857142857142753e+04,1.000000000000000056e-01,-1.080000000000000000e+02,4.000000000000000083e-03
file_10.npy,1.142857142857142753e+04,1.000000000000000056e-01,-1.000000000000000000e+02,4.000000000000000083e-03
file_11.npy,1.142857142857142753e+04,1.000000000000000056e-01,-9.200000000000000000e+01,4.000000000000000083e-03
file_12.npy,1.142857142857142753e+04,1.000000000000000056e-01,-8.400000000000000000e+01,4.000000000000000083e-03
file_13.npy,1.142857142857142753e+04,1.000000000000000056e-01,-7.600000000000000000e+01,4.000000000000000083e-03
file_14.npy,1.142857142857142753e+04,1.000000000000000056e-01,-6.800000000000000000e+01,4.000000000000000083e-03
file_15.npy,1.142857142857142753e+04,1.000000000000000056e-01,-6.000000000000000000e+01,4.000000000000000083e-03
file_16.npy,1.142857142857142753e+04,1.000000000000000056e-01,-5.200000000000000000e+01,4.000000000000000083e-03
file_17.npy,1.142857142857142753e+04,1.000000000000000056e-01,-4.400000000000000000e+01,4.000000000000000083e-03
file_18.npy,1.142857142857142753e+04,1.000000000000000056e-01,-3.600000000000000000e+01,4.000000000000000083e-03
file_19.npy,1.142857142857142753e+04,1.000000000000000056e-01,-2.800000000000000000e+01,4.000000000000000083e-03
file_20.npy,1.142857142857142753e+04,1.000000000000000056e-01,-2.000000000000000000e+01,4.000000000000000083e-03
file_21.npy,1.142857142857142753e+04,1.000000000000000056e-01,-1.200000000000000000e+01,4.000000000000000083e-03
file_22.npy,1.142857142857142753e+04,1.000000000000000056e-01,-4.000000000000000000e+00,4.000000000000000083e-03
file_23.npy,1.142857142857142753e+04,1.000000000000000056e-01,4.000000000000000000e+00,4.000000000000000083e-03
file_24.npy,1.142857142857142753e+04,1.000000000000000056e-01,1.200000000000000000e+01,4.000000000000000083e-03
file_25.npy,1.142857142857142753e+04,1.000000000000000056e-01,2.000000000000000000e+01,4.000000000000000083e-03
file_26.npy,1.142857142857142753e+04,1.000000000000000056e-01,2.800000000000000000e+01,4.000000000000000083e-03
file_27.npy,1.142857142857142753e+04,1.000000000000000056e-01,3.600000000000000000e+01,4.000000000000000083e-03
file_28.npy,1.142857142857142753e+04,1.000000000000000056e-01,4.400000000000000000e+01,4.000000000000000083e-03
file_29.npy,1.142857142857142753e+04,1.000000000000000056e-01,5.200000000000000000e+01,4.000000000000000083e-03
file_30.npy,1.142857142857142753e+04,1.000000000000000056e-01,6.000000000000000000e+01,4.000000000000000083e-03
file_31.npy,1.142857142857142753e+04,1.000000000000000056e-01,6.800000000000000000e+01,4.000000000000000083e-03
file_32.npy,1.142857142857142753e+04,1.000000000000000056e-01,7.600000000000000000e+01,4.000000000000000083e-03
file_33.npy,1.142857142857142753e+04,1.000000000000000056e-01,8.400000000000000000e+01,4.000000000000000083e-03
file_34.npy,1.142857142857142753e+04,1.000000000000000056e-01,9.200000000000000000e+01,4.000000000000000083e-03
file_35.npy,1.142857142857142753e+04,1.000000000000000056e-01,1.000000000000000000e+02,4.000000000000000083e-03
file_36.npy,1.142857142857142753e+04,1.000000000000000056e-01,1.080000000000000000e+02,4.000000000000000083e-03
file_37.npy,1.142857142857142753e+04,1.000000000000000056e-01,1.160000000000000000e+02,4.000000000000000083e-03
file_38.npy,1.142857142857142753e+04,1.000000000000000056e-01,1.240000000000000000e+02,4.000000000000000083e-03
file_39.npy,1.142857142857142753e+04,1.000000000000000056e-01,1.320000000000000000e+02,4.000000000000000083e-03
file_40.npy,1.142857142857142753e+04,1.000000000000000056e-01,1.400000000000000000e+02,4.000000000000000083e-03
file_41.npy,1.142857142857142753e+04,1.000000000000000056e-01,1.480000000000000000e+02,4.000000000000000083e-03
file_42.npy,1.142857142857142753e+04,1.000000000000000056e-01,1.560000000000000000e+02,4.000000000000000083e-03
file_43.npy,1.142857142857142753e+04,1.000000000000000056e-01,1.640000000000000000e+02,4.000000000000000083e-03
file_44.npy,1.142857142857142753e+04,1.000000000000000056e-01,1.720000000000000000e+02,4.000000000000000083e-03
file_45.npy,1.142857142857142753e+04,1.000000000000000056e-01,1.800000000000000000e+02,4.000000000000000083e-03
file_46.npy,1.142857142857142753e+04,3.200000000000000067e-01,-1.800000000000000000e+02,4.000000000000000083e-03
file_47.npy,1.142857142857142753e+04,3.200000000000000067e-01,-1.720000000000000000e+02,4.000000000000000083e-03
file_48.npy,1.142857142857142753e+04,3.200000000000000067e-01,-1.640000000000000000e+02,4.000000000000000083e-03
file_49.npy,1.142857142857142753e+04,3.200000000000000067e-01,-1.560000000000000000e+02,4.000000000000000083e-03
